Attribute,Commodity,CommodityType,Units,YearType,Year,Value
Feed & residual,Corn,Crops,Million bushels,Market year,2021/22,5775
Feed & residual,Corn,Crops,Million bushels,Market year,2022/23,5950
Feed & residual,Corn,Crops,Million bushels,Market year,2023/24,6075
Feed & residual,Corn,Crops,Million bushels,Market year,2024/25,6175
Feed & residual,Corn,Crops,Million bushels,Market year,2025/26,6325
Feed & residual,Corn,Crops,Million bushels,Market year,2026/27,6450
Feed & residual,Corn,Crops,Million bushels,Market year,2027/28,6600
Feed & residual,Corn,Crops,Million bushels,Market year,2028/29,6675
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2017/18,7054
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2018/19,7130
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2019/20,7190
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2020/21,7215
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2021/22,7215
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2022/23,7195
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2023/24,7170
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2024/25,7125
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2025/26,7100
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2026/27,7055
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2027/28,7005
"Food, seed, & industrial",Corn,Crops,Million bushels,Market year,2028/29,6955
Harvested acres,Corn,Crops,Million acres,Market year,2017/18,82.7
Harvested acres,Corn,Crops,Million acres,Market year,2018/19,81.8
Harvested acres,Corn,Crops,Million acres,Market year,2019/20,84.6
Harvested acres,Corn,Crops,Million acres,Market year,2020/21,85.6
Harvested acres,Corn,Crops,Million acres,Market year,2021/22,85.6
Harvested acres,Corn,Crops,Million acres,Market year,2022/23,85.6
Harvested acres,Corn,Crops,Million acres,Market year,2023/24,85.6
Harvested acres,Corn,Crops,Million acres,Market year,2024/25,85.1
Harvested acres,Corn,Crops,Million acres,Market year,2025/26,85.1
Harvested acres,Corn,Crops,Million acres,Market year,2026/27,85.1
Harvested acres,Corn,Crops,Million acres,Market year,2027/28,84.6
Harvested acres,Corn,Crops,Million acres,Market year,2028/29,84.1
Imports,Corn,Crops,Million bushels,Market year,2017/18,36
Imports,Corn,Crops,Million bushels,Market year,2018/19,50
Imports,Corn,Crops,Million bushels,Market year,2019/20,50
Imports,Corn,Crops,Million bushels,Market year,2020/21,50
Imports,Corn,Crops,Million bushels,Market year,2021/22,50
Imports,Corn,Crops,Million bushels,Market year,2022/23,50
Imports,Corn,Crops,Million bushels,Market year,2023/24,50
Imports,Corn,Crops,Million bushels,Market year,2024/25,50
Imports,Corn,Crops,Million bushels,Market year,2025/26,50
Imports,Corn,Crops,Million bushels,Market year,2026/27,50
Imports,Corn,Crops,Million bushels,Market year,2027/28,50
Imports,Corn,Crops,Million bushels,Market year,2028/29,50
Loan rate,Corn,Crops,Dollars per bushel,Market year,2017/18,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2018/19,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2019/20,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2020/21,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2021/22,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2022/23,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2023/24,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2024/25,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2025/26,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2026/27,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2027/28,1.95
Loan rate,Corn,Crops,Dollars per bushel,Market year,2028/29,1.95
Planted acres,Corn,Crops,Million acres,Market year,2017/18,90.2
Planted acres,Corn,Crops,Million acres,Market year,2018/19,89.1
Planted acres,Corn,Crops,Million acres,Market year,2019/20,92
Planted acres,Corn,Crops,Million acres,Market year,2020/21,93
Planted acres,Corn,Crops,Million acres,Market year,2021/22,93
Planted acres,Corn,Crops,Million acres,Market year,2022/23,93
Planted acres,Corn,Crops,Million acres,Market year,2023/24,93
Planted acres,Corn,Crops,Million acres,Market year,2024/25,92.5
Planted acres,Corn,Crops,Million acres,Market year,2025/26,92.5
Planted acres,Corn,Crops,Million acres,Market year,2026/27,92.5
Planted acres,Corn,Crops,Million acres,Market year,2027/28,92
Planted acres,Corn,Crops,Million acres,Market year,2028/29,91.5
Production,Corn,Crops,Million bushels,Market year,2017/18,14604
Production,Corn,Crops,Million bushels,Market year,2018/19,14778
Production,Corn,Crops,Million bushels,Market year,2019/20,14930
Production,Corn,Crops,Million bushels,Market year,2020/21,15280
Production,Corn,Crops,Million bushels,Market year,2021/22,15450
Production,Corn,Crops,Million bushels,Market year,2022/23,15620
Production,Corn,Crops,Million bushels,Market year,2023/24,15795
Production,Corn,Crops,Million bushels,Market year,2024/25,15870
Production,Corn,Crops,Million bushels,Market year,2025/26,16040
Production,Corn,Crops,Million bushels,Market year,2026/27,16210
Production,Corn,Crops,Million bushels,Market year,2027/28,16285
Production,Corn,Crops,Million bushels,Market year,2028/29,16355
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2017/18,256
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2018/19,291
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2019/20,344
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2020/21,358
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2021/22,371
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2022/23,392
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2023/24,369
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2024/25,344
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2025/26,348
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2026/27,334
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2027/28,337
Returns over variable costs (net returns),Corn,Crops,Dollars per acre,Market year,2028/29,341
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2017/18,14.5
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2018/19,12
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2019/20,10.6
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2020/21,10.6
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2021/22,10.7
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2022/23,10.7
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2023/24,11.1
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2024/25,11.5
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2025/26,11.8
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2026/27,12.3
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2027/28,12.4
"Stocks/use ratio, percent",Corn,Crops,Percent,Market year,2028/29,12.5
Supply total,Corn,Crops,Million bushels,Market year,2017/18,16934
Supply total,Corn,Crops,Million bushels,Market year,2018/19,16968
Supply total,Corn,Crops,Million bushels,Market year,2019/20,16793
Supply total,Corn,Crops,Million bushels,Market year,2020/21,16933
Supply total,Corn,Crops,Million bushels,Market year,2021/22,17118
Supply total,Corn,Crops,Million bushels,Market year,2022/23,17323
Supply total,Corn,Crops,Million bushels,Market year,2023/24,17523
Supply total,Corn,Crops,Million bushels,Market year,2024/25,17673
Supply total,Corn,Crops,Million bushels,Market year,2025/26,17913
Supply total,Corn,Crops,Million bushels,Market year,2026/27,18148
Supply total,Corn,Crops,Million bushels,Market year,2027/28,18328
Supply total,Corn,Crops,Million bushels,Market year,2028/29,18428
Total use/disposition,Corn,Crops,Million bushels,Market year,2017/18,14793
Total use/disposition,Corn,Crops,Million bushels,Market year,2018/19,15155
Total use/disposition,Corn,Crops,Million bushels,Market year,2019/20,15190
Total use/disposition,Corn,Crops,Million bushels,Market year,2020/21,15315
Total use/disposition,Corn,Crops,Million bushels,Market year,2021/22,15465
Total use/disposition,Corn,Crops,Million bushels,Market year,2022/23,15645
Total use/disposition,Corn,Crops,Million bushels,Market year,2023/24,15770
Total use/disposition,Corn,Crops,Million bushels,Market year,2024/25,15850
Total use/disposition,Corn,Crops,Million bushels,Market year,2025/26,16025
Total use/disposition,Corn,Crops,Million bushels,Market year,2026/27,16155
Total use/disposition,Corn,Crops,Million bushels,Market year,2027/28,16305
Total use/disposition,Corn,Crops,Million bushels,Market year,2028/29,16380
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2017/18,337
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2018/19,341
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2019/20,344
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2020/21,347
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2021/22,351
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2022/23,356
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2023/24,360
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2024/25,365
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2025/26,369
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2026/27,371
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2027/28,375
Variable cost of production (per acre),Corn,Crops,Dollars,Market year,2028/29,379
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2017/18,1.91
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2018/19,1.89
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2019/20,1.95
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2020/21,1.94
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2021/22,1.94
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2022/23,1.95
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2023/24,1.95
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2024/25,1.96
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2025/26,1.96
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2026/27,1.95
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2027/28,1.95
Variable cost of production (per bushel),Corn,Crops,Dollars,Market year,2028/29,1.95
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2017/18,176.6
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2018/19,180.7
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2019/20,176.5
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2020/21,178.5
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2021/22,180.5
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2022/23,182.5
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2023/24,184.5
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2024/25,186.5
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2025/26,188.5
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2026/27,190.5
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2027/28,192.5
Yield/harvested acre,Corn,Crops,Bushels per acre,Market year,2028/29,194.5
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2017/18,210.5
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2018/19,212.9
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2019/20,217.5
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2020/21,220.2
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2021/22,222.4
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2022/23,225.2
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2023/24,228.4
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2024/25,231.9
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2025/26,234.4
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2026/27,237.1
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2027/28,240.3
Commercial use: Milkfat basis,Dairy,Livestock/Dairy,Billion pounds,Market year,2028/29,243.7
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2017/18,177.6
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2018/19,178.6
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2019/20,181.6
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2020/21,184.2
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2021/22,185.9
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2022/23,187.7
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2023/24,189.8
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2024/25,192.2
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2025/26,193.9
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2026/27,195.9825787
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2027/28,197.9
Commercial use: Skim solids,Dairy,Livestock/Dairy,Billion pounds,Market year,2028/29,200.5
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2017/18,22941.38682
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2018/19,23200
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2019/20,23525
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2020/21,23930
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2021/22,24175
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2022/23,24495
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2023/24,24815
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2024/25,25210
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2025/26,25475
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2026/27,25805
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2027/28,26130
Milk per cow,Dairy,Livestock/Dairy,Pounds,Market year,2028/29,26530
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2017/18,215.5
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2018/19,218.1
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2019/20,221.4
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2020/21,225.3
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2021/22,227.8
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2022/23,231
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2023/24,234.1
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2024/25,238
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2025/26,240.6
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2026/27,244
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2027/28,247.2
Milk production,Dairy,Livestock/Dairy,Billion pounds,Market year,2028/29,251.1
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2017/18,9392
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2018/19,9400
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2019/20,9410
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2020/21,9415
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2021/22,9425
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2022/23,9430
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2023/24,9435
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2024/25,9440
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2025/26,9445
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2026/27,9455
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2027/28,9460
Number of cows,Dairy,Livestock/Dairy,Thousand,Market year,2028/29,9465
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2017/18,17.65
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2018/19,16.4
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2019/20,17.3
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2020/21,17.4
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2021/22,17.55
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2022/23,17.8
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2023/24,18.15
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2024/25,18.55
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2025/26,18.85
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2026/27,19
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2027/28,19.3
Prices: All milk,Dairy,Livestock/Dairy,Dollars per cwt.,Market year,2028/29,19.65
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2017/18,142
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2018/19,88
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2019/20,75
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2020/21,80
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2021/22,80
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2022/23,80
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2023/24,80
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2024/25,80
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2025/26,80
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2026/27,80
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2027/28,80
Beginning stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2028/29,80
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2017/18,7507
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2018/19,7639
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2019/20,7737
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2020/21,7865
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2021/22,7973
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2022/23,8074
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2023/24,8178
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2024/25,8282
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2025/26,8388
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2026/27,8497
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2027/28,8610
Disappearance,Egg,Livestock/Dairy,Million dozen,Calendar year,2028/29,8719
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2017/18,86.6
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2018/19,117.5
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2019/20,121.65
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2020/21,98.98
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2021/22,100.94
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2022/23,101.92
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2023/24,102.9
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2024/25,102.9
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2025/26,102.9
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2026/27,103.88
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2027/28,104.86
"Eggs, farm",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2028/29,105.84
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2017/18,88
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2018/19,75
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2019/20,80
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2020/21,80
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2021/22,80
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2022/23,80
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2023/24,80
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2024/25,80
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2025/26,80
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2026/27,80
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2027/28,80
Ending stocks,Egg,Livestock/Dairy,Million dozen,Calendar year,2028/29,80
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2017/18,355
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2018/19,336
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2019/20,340
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2020/21,343
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2021/22,346
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2022/23,349
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2023/24,352
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2024/25,355
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2025/26,358
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2026/27,361
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2027/28,364
Exports,Egg,Livestock/Dairy,Million dozen,Calendar year,2028/29,367
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2017/18,1035
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2018/19,1060
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2019/20,1085
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2020/21,1096
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2021/22,1106
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2022/23,1114
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2023/24,1121
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2024/25,1129
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2025/26,1137
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2026/27,1144
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2027/28,1148
Hatching use,Egg,Livestock/Dairy,Million dozen,Calendar year,2028/29,1151
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2017/18,34.2
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2018/19,22.1
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2019/20,27
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2020/21,27
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2021/22,27
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2022/23,27
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2023/24,27
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2024/25,27
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2025/26,27
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2026/27,27
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2027/28,27
Imports,Egg,Livestock/Dairy,Million dozen,Calendar year,2028/29,27
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2017/18,100.9
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2018/19,141.2
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2019/20,123.8
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2020/21,101
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2021/22,103
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2022/23,104
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2023/24,105
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2024/25,105
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2025/26,105
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2026/27,106
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2027/28,107
"New York, Grade A large",Egg,Livestock/Dairy,Cents per dozen,Calendar year,2028/29,108
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2017/18,277
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2018/19,279
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2019/20,280
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2020/21,283
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2021/22,284
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2022/23,286
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2023/24,287
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2024/25,289
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2025/26,290
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2026/27,292
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2027/28,294
Per capita,Egg,Livestock/Dairy,Number per capita,Calendar year,2028/29,296
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2017/18,8808
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2018/19,9001
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2019/20,9140
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2020/21,9277
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2021/22,9398
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2022/23,9510
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2023/24,9625
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2024/25,9740
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2025/26,9857
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2026/27,9975
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2027/28,10095
Production,Egg,Livestock/Dairy,Million dozen,Calendar year,2028/29,10211
Supply total,Egg,Livestock/Dairy,Million dozen,Calendar year,2017/18,8984
Supply total,Egg,Livestock/Dairy,Million dozen,Calendar year,2018/19,9111
Supply total,Egg,Livestock/Dairy,Million dozen,Calendar year,2019/20,9242
Supply total,Egg,Livestock/Dairy,Million dozen,Calendar year,2020/21,9384
Supply total,Egg,Livestock/Dairy,Million dozen,Calendar year,2021/22,9505
Supply total,Egg,Livestock/Dairy,Million dozen,Calendar year,2022/23,9617
Supply total,Egg,Livestock/Dairy,Million dozen,Calendar year,2023/24,9732
Supply total,Egg,Livestock/Dairy,Million dozen,Calendar year,2024/25,9847
