,Commodity,CommodityType,YearType,Year,Beginning stocks,Domestic,Ending stocks,Exports,Farm price,Feed & residual,"Food, seed, & industrial",Harvested acres,Imports,Loan rate,Planted acres,Production,Returns over variable costs (net returns),"Stocks/use ratio, percent",Supply total,Total use/disposition,Variable cost of production (per acre),Variable cost of production (per bushel),Yield/harvested acre,"Beef cattle, farm",Beef cow inventory,"Calves, farm",Cattle inventory,Commercial production,"Feeder steers, Okla. City","Production, farm","Steers, 5-area, all grades",Total cow inventory,Total disappearance,Total production,"Broilers, farm",Disappearance,Federally inspected slaughter,National composite price,Ethanol for fuel,Commercial use: Milkfat basis,Commercial use: Skim solids,Milk per cow,Milk production,Number of cows,Prices: All milk,"Eggs, farm",Hatching use,"New York, Grade A large",Per capita,Retail weight: Broilers,Retail weight: Lamb & mutton,Retail weight: Other chicken,Retail weight: Red meat & poultry,Retail weight: Total beef,Retail weight: Total pork,Retail weight: Total poultry,Retail weight: Total red meat,Retail weight: Total veal,Retail weight: Turkeys,"Hog, inventory Dec.1, previous year","Hogs, farm","National base, live eqv","Milling rate, percent",Variable cost of production (per cwt.),Crushing yields,Prices,Total demand,"Soybean oil, for methyl ester",Crush,Crush margin,Seed & residual,"Hen turkeys, National","Turkey, farm",Variable cost of production (per pound),Food,Seed
74,Oats,Crops,Market year,2019/20,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Oats,Crops,Market year,2020/21,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Oats,Crops,Market year,2021/22,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Oats,Crops,Market year,2022/23,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Oats,Crops,Market year,2023/24,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Oats,Crops,Market year,2024/25,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Oats,Crops,Market year,2025/26,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Oats,Crops,Market year,2026/27,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Oats,Crops,Market year,2027/28,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Oats,Crops,Market year,2028/29,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2017/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
85,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2018/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
86,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2019/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
87,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
88,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
89,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
90,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2023/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
91,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2024/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
92,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2025/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
93,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2026/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
94,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2027/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
95,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2028/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,Pounds per capita,,,,,,,,,,,,,,,,,
96,Pork,Livestock/Dairy,Calendar year,2017/18,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
97,Pork,Livestock/Dairy,Calendar year,2018/19,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
98,Pork,Livestock/Dairy,Calendar year,2019/20,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
99,Pork,Livestock/Dairy,Calendar year,2020/21,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
100,Pork,Livestock/Dairy,Calendar year,2021/22,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
101,Pork,Livestock/Dairy,Calendar year,2022/23,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
102,Pork,Livestock/Dairy,Calendar year,2023/24,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
103,Pork,Livestock/Dairy,Calendar year,2024/25,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
104,Pork,Livestock/Dairy,Calendar year,2025/26,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
105,Pork,Livestock/Dairy,Calendar year,2026/27,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
106,Pork,Livestock/Dairy,Calendar year,2027/28,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
107,Pork,Livestock/Dairy,Calendar year,2028/29,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,,,,,Million pounds,,Million pounds,,,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand head,Dollars per cwt.,Dollars per cwt.,,,,,,,,,,,,,,
108,Rice,Crops,Market year,2017/18,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
109,Rice,Crops,Market year,2018/19,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
110,Rice,Crops,Market year,2019/20,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
111,Rice,Crops,Market year,2020/21,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
112,Rice,Crops,Market year,2021/22,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
113,Rice,Crops,Market year,2022/23,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
114,Rice,Crops,Market year,2023/24,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
115,Rice,Crops,Market year,2024/25,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
116,Rice,Crops,Market year,2025/26,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
117,Rice,Crops,Market year,2026/27,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
118,Rice,Crops,Market year,2027/28,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
119,Rice,Crops,Market year,2028/29,Million cwt.,Million cwt.,Million cwt.,Million cwt.,Dollars per cwt.,,,Thousand acres,Million cwt.,Dollars per cwt.,Thousand acres,Million cwt.,Dollars per acre,Percent,Million cwt.,Million cwt.,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million cwt.,Dollars,,,,,,,,,,,,
120,Sorghum,Crops,Market year,2017/18,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Sorghum,Crops,Market year,2018/19,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Sorghum,Crops,Market year,2019/20,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Sorghum,Crops,Market year,2020/21,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Sorghum,Crops,Market year,2021/22,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Sorghum,Crops,Market year,2022/23,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Sorghum,Crops,Market year,2023/24,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Sorghum,Crops,Market year,2024/25,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Sorghum,Crops,Market year,2025/26,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Sorghum,Crops,Market year,2026/27,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Sorghum,Crops,Market year,2027/28,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Sorghum,Crops,Market year,2028/29,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Soybean meal,Crops,Market year,2017/18,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
133,Soybean meal,Crops,Market year,2018/19,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
134,Soybean meal,Crops,Market year,2019/20,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
135,Soybean meal,Crops,Market year,2020/21,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
136,Soybean meal,Crops,Market year,2021/22,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
137,Soybean meal,Crops,Market year,2022/23,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
138,Soybean meal,Crops,Market year,2023/24,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
139,Soybean meal,Crops,Market year,2024/25,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
140,Soybean meal,Crops,Market year,2025/26,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
141,Soybean meal,Crops,Market year,2026/27,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
142,Soybean meal,Crops,Market year,2027/28,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
143,Soybean meal,Crops,Market year,2028/29,Thousand short tons,Thousand short tons,Thousand short tons,Thousand short tons,,,,,Thousand short tons,,,Thousand short tons,,,Thousand short tons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per short ton,Thousand short tons,,,,,,,,,
144,Soybean oil,Crops,Market year,2017/18,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
145,Soybean oil,Crops,Market year,2018/19,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
146,Soybean oil,Crops,Market year,2019/20,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
